Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.57962799,-150.03993217,8,19,2008,9,51,1,1e25,1e25,-20.600000,"SM",0.0032,1.2317,1.2317,2.920030,4,
T,,70.57991020,-150.04025261,8,19,2008,9,51,28,1e25,1e25,-20.600000,"SM",0.0208,1.2526,1.2526,2.779032,27,
T,,70.58016200,-150.04052728,8,19,2008,9,51,53,1e25,1e25,-20.600000,"SM",0.0185,1.2711,1.2711,2.664890,25,
T,,70.58047481,-150.04064941,8,19,2008,9,52,22,1e25,1e25,-20.600000,"SM",0.0218,1.2929,1.2929,2.705536,29,
T,,70.58074948,-150.04081721,8,19,2008,9,52,47,1e25,1e25,-20.600000,"SM",0.0194,1.3123,1.3123,2.788669,25,
T,,70.58105467,-150.04115291,8,19,2008,9,53,16,1e25,1e25,-20.600000,"SM",0.0225,1.3347,1.3347,2.787161,29,
T,,70.58135985,-150.04153437,8,19,2008,9,53,46,1e25,1e25,-20.600000,"SM",0.0228,1.3575,1.3575,2.740143,30,
T,,70.58170318,-150.04135131,8,19,2008,9,54,19,1e25,1e25,-20.600000,"SM",0.0241,1.3816,1.3816,2.628127,33,
T,,70.58201599,-150.04109189,8,19,2008,9,54,49,1e25,1e25,-20.600000,"SM",0.0224,1.4041,1.4041,2.690367,30,
T,,70.58224482,-150.04109189,8,19,2008,9,55,13,1e25,1e25,-20.600000,"SM",0.0158,1.4199,1.4199,2.371553,24,
T,,70.58251949,-150.04112240,8,19,2008,9,55,39,1e25,1e25,-20.600000,"SM",0.0190,1.4389,1.4389,2.629544,26,
T,,70.58282468,-150.04116816,8,19,2008,9,56,8,1e25,1e25,-20.600000,"SM",0.0211,1.4600,1.4600,2.620856,29,
T,,70.58312986,-150.04147335,8,19,2008,9,56,36,1e25,1e25,-20.600000,"SM",0.0222,1.4822,1.4822,2.856977,28,
T,,70.58341979,-150.04165649,8,19,2008,9,57,3,1e25,1e25,-20.600000,"SM",0.0205,1.5027,1.5027,2.729222,27,
T,,70.58370201,-150.04173277,8,19,2008,9,57,30,1e25,1e25,-20.600000,"SM",0.0196,1.5222,1.5222,2.610398,27,
T,,70.58380888,-150.04176328,8,19,2008,9,57,40,1e25,1e25,-20.600000,"SM",0.0074,1.5297,1.5297,2.670169,10,
T,,70.58412932,-150.04168700,8,19,2008,9,58,9,1e25,1e25,-20.600000,"SM",0.0222,1.5519,1.5519,2.757040,29,
T,,70.58428950,-150.04164116,8,19,2008,9,58,24,1e25,1e25,-20.600000,"SM",0.0111,1.5630,1.5630,2.668136,15,
T,,70.58459468,-150.04170226,8,19,2008,9,58,54,1e25,1e25,-20.600000,"SM",0.0211,1.5841,1.5841,2.535950,30,
T,,70.58485410,-150.04179379,8,19,2008,9,59,19,1e25,1e25,-20.600000,"SM",0.0180,1.6022,1.6022,2.598775,25,
T,,70.58511352,-150.04193109,8,19,2008,9,59,45,1e25,1e25,-20.600000,"SM",0.0182,1.6204,1.6204,2.519924,26,
T,,70.58536523,-150.04217525,8,19,2008,10,0,10,1e25,1e25,-20.600000,"SM",0.0183,1.6386,1.6386,2.631329,25,
T,,70.58541862,-150.04220576,8,19,2008,10,0,15,1e25,1e25,-20.600000,"SM",0.0038,1.6424,1.6424,2.703630,5,
T,,70.58564753,-150.04202270,8,19,2008,10,0,38,1e25,1e25,-20.600000,"SM",0.0164,1.6588,1.6588,2.561541,23,
T,,70.58572381,-150.04196160,8,19,2008,10,0,46,1e25,1e25,-20.600000,"SM",0.0055,1.6642,1.6642,2.454192,8,
T,,70.58578491,-150.04203795,8,19,2008,10,0,53,1e25,1e25,-20.600000,"SM",0.0046,1.6688,1.6688,2.351121,7,
T,,70.58592984,-150.04222102,8,19,2008,10,1,10,1e25,1e25,-20.600000,"SM",0.0109,1.6796,1.6796,2.299769,17,
T,,70.58625028,-150.04229729,8,19,2008,10,1,40,1e25,1e25,-20.600000,"SM",0.0222,1.7018,1.7018,2.665137,30,
T,,70.58650970,-150.04254146,8,19,2008,10,2,4,1e25,1e25,-20.600000,"SM",0.0188,1.7206,1.7206,2.817124,24,
T,,70.58685302,-150.04244993,8,19,2008,10,2,35,1e25,1e25,-20.600000,"SM",0.0238,1.7444,1.7444,2.765528,31,
T,,70.58686065,-150.04244993,8,19,2008,10,2,36,1e25,1e25,-20.600000,"SM",0.0005,1.7450,1.7450,1.897242,1,
T,,70.58701320,-150.04261773,8,19,2008,10,2,51,1e25,1e25,-20.600000,"SM",0.0112,1.7562,1.7562,2.693429,15,
T,,70.58706659,-150.04266350,8,19,2008,10,2,56,1e25,1e25,-20.600000,"SM",0.0038,1.7600,1.7600,2.761828,5,
T,,70.58738703,-150.04302979,8,19,2008,10,3,26,1e25,1e25,-20.600000,"SM",0.0237,1.7837,1.7837,2.842124,30,
T,,70.58746330,-150.04313657,8,19,2008,10,3,33,1e25,1e25,-20.600000,"SM",0.0058,1.7895,1.7895,2.989401,7,
T,,70.58776086,-150.04331963,8,19,2008,10,4,1,1e25,1e25,-20.600000,"SM",0.0210,1.8105,1.8105,2.698025,28,
T,,70.58804316,-150.04341125,8,19,2008,10,4,26,1e25,1e25,-20.600000,"SM",0.0196,1.8301,1.8301,2.825043,25,
T,,70.58831021,-150.04325861,8,19,2008,10,4,52,1e25,1e25,-20.600000,"SM",0.0188,1.8489,1.8489,2.600469,26,
