X,Y,LATITUDE,LONGITUDE,"Type",ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_16,ATTR_17,ATTR_18,ATTR_19,ATTR_20,ATTR_21,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9,Datum:,ZoneOffset:
388628.199,7831695.499,70.565561° N,150.000173° W,,T,1e25,1e25,SM,0.0141,5.1669,18.1104,2.981120,17,,,,,8,19,2008,15,51,31,58.798402,,
388631.757,7831710.094,70.565693° N,150.000097° W,,T,1e25,1e25,SM,0.0093,5.1763,18.1197,1.595218,21,,,,,8,19,2008,15,51,52,49.336351,,
388627.280,7831707.685,70.565669° N,150.000214° W,,T,1e25,1e25,SM,0.0031,5.1794,18.1229,0.145257,78,,,,,8,19,2008,15,53,10,44.605726,,
388625.152,7831707.145,70.565664° N,150.000271° W,,T,1e25,1e25,SM,0.0014,5.1808,18.1242,0.116472,42,,,,,8,19,2008,15,53,52,31.990191,,
388624.555,7831708.494,70.565675° N,150.000289° W,,T,1e25,1e25,SM,0.0009,5.1817,18.1251,0.131605,25,,,,,8,19,2008,15,54,17,20.950998,,
388624.883,7831709.002,70.565680° N,150.000281° W,,T,1e25,1e25,SM,0.0004,5.1820,18.1255,0.040835,33,,,,,8,19,2008,15,54,50,20.950998,,
388625.068,7831709.845,70.565688° N,150.000277° W,,T,1e25,1e25,SM,0.0005,5.1826,18.1260,0.031539,61,,,,,8,19,2008,15,55,51,13.066490,,
388624.975,7831711.618,70.565704° N,150.000282° W,,T,1e25,1e25,SM,0.0011,5.1837,18.1271,0.172214,23,,,,,8,19,2008,15,56,14,11.489348,,
388622.604,7831714.468,70.565728° N,150.000349° W,,T,1e25,1e25,SM,0.0023,5.1860,18.1294,0.100802,82,,,,,8,19,2008,15,57,36,22.527740,,
388623.895,7831712.420,70.565710° N,150.000312° W,,T,1e25,1e25,SM,0.0015,5.1875,18.1309,0.154262,35,,,,,8,19,2008,15,58,11,22.527740,,
388625.073,7831709.759,70.565687° N,150.000276° W,,T,1e25,1e25,SM,0.0018,5.1893,18.1327,0.231680,28,,,,,8,19,2008,15,58,39,9.912205,,
388626.501,7831708.501,70.565676° N,150.000236° W,,T,1e25,1e25,SM,0.0012,5.1905,18.1339,0.223333,19,,,,,8,19,2008,15,58,58,14.643231,,
388627.154,7831707.354,70.565666° N,150.000217° W,,T,1e25,1e25,SM,0.0008,5.1913,18.1347,0.173075,17,,,,,8,19,2008,15,59,15,9.912205,,
388627.519,7831706.391,70.565658° N,150.000206° W,,T,1e25,1e25,SM,0.0006,5.1919,18.1354,0.120853,19,,,,,8,19,2008,15,59,34,0.450955,,
388628.417,7831705.710,70.565652° N,150.000181° W,,T,1e25,1e25,SM,0.0007,5.1926,18.1361,0.073893,34,,,,,8,19,2008,16,0,8,9.912205,,
388628.015,7831706.151,70.565656° N,150.000193° W,,T,1e25,1e25,SM,0.0004,5.1930,18.1364,0.063358,21,,,,,8,19,2008,16,0,29,14.643231,,
388628.658,7831705.867,70.565654° N,150.000175° W,,T,1e25,1e25,SM,0.0004,5.1934,18.1369,0.054076,29,,,,,8,19,2008,16,0,58,16.219973,,
388629.197,7831705.232,70.565648° N,150.000160° W,,T,1e25,1e25,SM,0.0005,5.1939,18.1374,0.068774,27,,,,,8,19,2008,16,1,25,13.066490,,
388628.368,7831711.478,70.565704° N,150.000190° W,,T,1e25,1e25,SM,0.0039,5.1978,18.1413,0.298995,47,,,,,8,19,2008,16,2,12,19.374257,,
388630.036,7831709.655,70.565688° N,150.000143° W,,T,1e25,1e25,SM,0.0015,5.1994,18.1428,0.196737,28,,,,,8,19,2008,16,2,40,16.219973,,
388628.299,7831709.320,70.565684° N,150.000189° W,,T,1e25,1e25,SM,0.0011,5.2005,18.1439,0.135947,29,,,,,8,19,2008,16,3,9,11.489348,,
388627.624,7831709.353,70.565684° N,150.000207° W,,T,1e25,1e25,SM,0.0004,5.2009,18.1443,0.048559,31,,,,,8,19,2008,16,3,40,13.066490,,
388627.948,7831708.083,70.565673° N,150.000197° W,,T,1e25,1e25,SM,0.0008,5.2017,18.1451,0.064959,45,,,,,8,19,2008,16,4,25,8.335464,,
388626.732,7831708.573,70.565677° N,150.000230° W,,T,1e25,1e25,SM,0.0008,5.2025,18.1460,0.132851,22,,,,,8,19,2008,16,4,47,3.604438,,
388628.097,7831708.571,70.565678° N,150.000194° W,,T,1e25,1e25,SM,0.0008,5.2033,18.1468,0.160099,19,,,,,8,19,2008,16,5,6,6.758722,,
388627.996,7831709.119,70.565683° N,150.000197° W,,T,1e25,1e25,SM,0.0003,5.2037,18.1472,0.038820,32,,,,,8,19,2008,16,5,38,13.066490,,
388628.106,7831707.990,70.565672° N,150.000193° W,,T,1e25,1e25,SM,0.0007,5.2044,18.1479,0.076628,33,,,,,8,19,2008,16,6,11,5.181580,,
388627.606,7831706.470,70.565659° N,150.000204° W,,T,1e25,1e25,SM,0.0010,5.2054,18.1488,0.108093,33,,,,,8,19,2008,16,6,44,3.604438,,
388625.628,7831706.109,70.565655° N,150.000257° W,,T,1e25,1e25,SM,0.0012,5.2066,18.1501,0.179254,25,,,,,8,19,2008,16,7,9,8.335464,,
388623.271,7831707.238,70.565664° N,150.000322° W,,T,1e25,1e25,SM,0.0016,5.2083,18.1517,0.306433,19,,,,,8,19,2008,16,7,28,9.912205,,
388623.921,7831710.294,70.565691° N,150.000308° W,,T,1e25,1e25,SM,0.0019,5.2102,18.1536,0.193585,36,,,,,8,19,2008,16,8,4,8.335464,,
388624.520,7831708.663,70.565677° N,150.000290° W,,T,1e25,1e25,SM,0.0011,5.2113,18.1547,0.059579,65,,,,,8,19,2008,16,9,9,-7.434354,,
388626.177,7831706.251,70.565656° N,150.000242° W,,T,1e25,1e25,SM,0.0018,5.2131,18.1565,0.241693,27,,,,,8,19,2008,16,9,36,-5.857212,,
388625.550,7831705.786,70.565652° N,150.000258° W,,T,1e25,1e25,SM,0.0005,5.2136,18.1570,0.042470,41,,,,,8,19,2008,16,10,17,-13.742121,,
388625.323,7831706.124,70.565655° N,150.000265° W,,T,1e25,1e25,SM,0.0003,5.2138,18.1573,0.129776,7,,,,,8,19,2008,16,10,24,-12.164979,,
388624.316,7831705.556,70.565649° N,150.000291° W,,T,1e25,1e25,SM,0.0007,5.2145,18.1580,1.288217,2,,,,,8,19,2008,16,10,26,-12.164979,,
388626.933,7831709.116,70.565682° N,150.000226° W,,T,1e25,1e25,SM,0.0027,5.2173,18.1607,1.094202,9,,,,,8,19,2008,16,10,35,-7.434354,,
388625.476,7831705.041,70.565645° N,150.000259° W,,T,1e25,1e25,SM,0.0027,5.2199,18.1634,0.283819,34,,,,,8,19,2008,16,11,9,-13.742121,,
388625.873,7831704.759,70.565643° N,150.000248° W,,T,1e25,1e25,SM,0.0003,5.2202,18.1637,0.108593,10,,,,,8,19,2008,16,11,19,-16.896005,,
388623.295,7831715.717,70.565740° N,150.000332° W,,T,1e25,1e25,SM,0.0070,5.2272,18.1707,6.275410,4,,,,,8,19,2008,16,11,23,2.027697,,
388622.376,7831714.470,70.565728° N,150.000355° W,,T,1e25,1e25,SM,0.0010,5.2282,18.1716,0.313828,11,,,,,8,19,2008,16,11,34,5.181580,,
388623.193,7831711.950,70.565706° N,150.000330° W,,T,1e25,1e25,SM,0.0016,5.2298,18.1733,0.347576,17,,,,,8,19,2008,16,11,51,-1.126587,,
388626.448,7831712.855,70.565715° N,150.000244° W,,T,1e25,1e25,SM,0.0021,5.2319,18.1754,0.418332,18,,,,,8,19,2008,16,12,9,3.604438,,
388628.238,7831710.614,70.565696° N,150.000192° W,,T,1e25,1e25,SM,0.0018,5.2337,18.1771,0.376195,17,,,,,8,19,2008,16,12,26,0.450955,,
388628.275,7831711.726,70.565706° N,150.000193° W,,T,1e25,1e25,SM,0.0007,5.2344,18.1778,0.112789,22,,,,,8,19,2008,16,12,48,2.027697,,
388626.351,7831713.787,70.565724° N,150.000247° W,,T,1e25,1e25,SM,0.0017,5.2361,18.1796,0.184851,34,,,,,8,19,2008,16,13,22,-1.126587,,
388626.665,7831714.857,70.565733° N,150.000240° W,,T,1e25,1e25,SM,0.0007,5.2368,18.1803,0.073167,34,,,,,8,19,2008,16,13,56,6.758722,,
388626.713,7831714.565,70.565731° N,150.000239° W,,T,1e25,1e25,SM,0.0002,5.2370,18.1805,0.024483,27,,,,,8,19,2008,16,14,23,6.758722,,
388626.485,7831711.843,70.565706° N,150.000241° W,,T,1e25,1e25,SM,0.0017,5.2387,18.1821,0.203047,30,,,,,8,19,2008,16,14,53,3.604438,,
388626.984,7831711.163,70.565700° N,150.000227° W,,T,1e25,1e25,SM,0.0005,5.2392,18.1827,0.069655,27,,,,,8,19,2008,16,15,20,-7.434354,,
388626.411,7831710.405,70.565693° N,150.000241° W,,T,1e25,1e25,SM,0.0006,5.2398,18.1833,0.075683,28,,,,,8,19,2008,16,15,48,3.604438,,
388626.112,7831711.234,70.565701° N,150.000250° W,,T,1e25,1e25,SM,0.0005,5.2403,18.1838,0.070184,28,,,,,8,19,2008,16,16,16,9.912205,,
388625.059,7831709.798,70.565687° N,150.000277° W,,T,1e25,1e25,SM,0.0011,5.2414,18.1849,0.147051,27,,,,,8,19,2008,16,16,43,2.027697,,
388625.724,7831710.767,70.565696° N,150.000260° W,,T,1e25,1e25,SM,0.0007,5.2422,18.1856,0.145542,18,,,,,8,19,2008,16,17,1,11.489348,,
388626.589,7831710.611,70.565695° N,150.000237° W,,T,1e25,1e25,SM,0.0005,5.2427,18.1862,0.048960,40,,,,,8,19,2008,16,17,41,16.219973,,
388626.952,7831711.080,70.565700° N,150.000228° W,,T,1e25,1e25,SM,0.0004,5.2431,18.1865,0.052871,25,,,,,8,19,2008,16,18,6,16.219973,,
388627.720,7831711.857,70.565707° N,150.000208° W,,T,1e25,1e25,SM,0.0007,5.2438,18.1872,0.062413,39,,,,,8,19,2008,16,18,45,20.950998,,
388628.070,7831711.119,70.565700° N,150.000198° W,,T,1e25,1e25,SM,0.0005,5.2443,18.1877,0.070050,26,,,,,8,19,2008,16,19,11,20.950998,,
388627.453,7831708.219,70.565674° N,150.000210° W,,T,1e25,1e25,SM,0.0018,5.2461,18.1896,0.188866,35,,,,,8,19,2008,16,19,46,3.604438,,
388627.935,7831711.098,70.565700° N,150.000201° W,,T,1e25,1e25,SM,0.0018,5.2479,18.1914,0.232400,28,,,,,8,19,2008,16,20,14,13.066490,,
388626.661,7831708.530,70.565677° N,150.000232° W,,T,1e25,1e25,SM,0.0018,5.2497,18.1931,0.266272,24,,,,,8,19,2008,16,20,38,8.335464,,
388627.199,7831712.604,70.565713° N,150.000223° W,,T,1e25,1e25,SM,0.0025,5.2522,18.1957,0.352402,26,,,,,8,19,2008,16,21,4,16.219973,,
388627.109,7831711.850,70.565707° N,150.000225° W,,T,1e25,1e25,SM,0.0005,5.2527,18.1962,0.089098,19,,,,,8,19,2008,16,21,23,17.797115,,
388627.686,7831708.273,70.565675° N,150.000204° W,,T,1e25,1e25,SM,0.0022,5.2549,18.1984,0.538537,15,,,,,8,19,2008,16,21,38,11.489348,,
388627.652,7831706.889,70.565662° N,150.000203° W,,T,1e25,1e25,SM,0.0009,5.2558,18.1993,0.140299,22,,,,,8,19,2008,16,22,0,8.335464,,
388627.297,7831703.931,70.565636° N,150.000209° W,,T,1e25,1e25,SM,0.0018,5.2576,18.2011,0.332310,20,,,,,8,19,2008,16,22,20,5.181580,,
388627.636,7831704.794,70.565644° N,150.000201° W,,T,1e25,1e25,SM,0.0006,5.2582,18.2017,0.098458,21,,,,,8,19,2008,16,22,41,3.604438,,
388628.765,7831704.747,70.565644° N,150.000171° W,,T,1e25,1e25,SM,0.0007,5.2589,18.2024,0.076309,33,,,,,8,19,2008,16,23,14,2.027697,,
388628.211,7831707.040,70.565664° N,150.000188° W,,T,1e25,1e25,SM,0.0015,5.2604,18.2038,0.276804,19,,,,,8,19,2008,16,23,33,3.604438,,
388627.478,7831707.338,70.565666° N,150.000209° W,,T,1e25,1e25,SM,0.0005,5.2609,18.2043,0.053462,33,,,,,8,19,2008,16,24,6,5.181580,,
388624.508,7831707.102,70.565663° N,150.000288° W,,T,1e25,1e25,SM,0.0018,5.2627,18.2062,0.170216,39,,,,,8,19,2008,16,24,45,8.335464,,
388624.837,7831707.571,70.565667° N,150.000280° W,,T,1e25,1e25,SM,0.0004,5.2631,18.2065,0.079978,16,,,,,8,19,2008,16,25,1,8.335464,,
388624.792,7831706.601,70.565659° N,150.000280° W,,T,1e25,1e25,SM,0.0006,5.2637,18.2071,0.154878,14,,,,,8,19,2008,16,25,15,11.489348,,
388623.967,7831713.550,70.565720° N,150.000311° W,,T,1e25,1e25,SM,0.0043,5.2680,18.2115,0.678469,23,,,,,8,19,2008,16,25,38,6.758722,,
388623.747,7831709.301,70.565682° N,150.000312° W,,T,1e25,1e25,SM,0.0026,5.2706,18.2141,0.451725,21,,,,,8,19,2008,16,25,59,9.912205,,
388627.346,7831706.428,70.565658° N,150.000211° W,,T,1e25,1e25,SM,0.0029,5.2735,18.2170,0.331094,31,,,,,8,19,2008,16,26,30,11.489348,,
