Version 2:CSV
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Comment","Symbol#","SymbolColor","SymbolDisplay","Altitude (Meters)","Depth (Meters)","Temp Deg C","Ref Dist","Ref units"
W,001,70.54788667,-149.21208833,7,21,2008,11,0,0,21-JUL-08 11:00,18,Default Color,S+N,1.327515,1e25,1e25,0.0,feet
W,002,70.53270833,-149.08479333,7,21,2008,11,32,0,21-JUL-08 11:32,18,Default Color,S+N,0.606567,1e25,1e25,3.112,S mi
W,003,70.48795000,-148.70027000,7,21,2008,13,6,0,21-JUL-08 13:06,18,Default Color,S+N,1.567871,1e25,1e25,12.500,S mi
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.54428333,-149.18310000,7,21,2008,19,7,48,2.540649,1e25,1e25,"SM",0.0138,1.9532,1.9532,4.958083,10,
T,,70.54417833,-149.18245167,7,21,2008,19,7,58,1.579346,1e25,1e25,"SM",0.0166,1.9698,1.9698,5.972660,10,
T,,70.54408000,-149.18175833,7,21,2008,19,8,8,1.579346,1e25,1e25,"SM",0.0173,1.9871,1.9871,6.243269,10,
T,,70.54396500,-149.18099000,7,21,2008,19,8,18,1.098633,1e25,1e25,"SM",0.0194,2.0065,2.0065,6.978775,10,
T,,70.54385333,-149.18024167,7,21,2008,19,8,28,0.618042,1e25,1e25,"SM",0.0189,2.0254,2.0254,6.793686,10,
T,,70.54375167,-149.17960333,7,21,2008,19,8,38,1.098633,1e25,1e25,"SM",0.0163,2.0416,2.0416,5.862122,10,
T,,70.54364667,-149.17884833,7,21,2008,19,8,48,2.060059,1e25,1e25,"SM",0.0188,2.0605,2.0605,6.778587,10,
T,,70.54357667,-149.17810500,7,21,2008,19,8,58,2.060059,1e25,1e25,"SM",0.0178,2.0782,2.0782,6.400011,10,
T,,70.54351167,-149.17770333,7,21,2008,19,9,8,1.579346,1e25,1e25,"SM",0.0103,2.0885,2.0885,3.699828,10,
T,,70.54344000,-149.17723167,7,21,2008,19,9,18,1.098633,1e25,1e25,"SM",0.0119,2.1005,2.1005,4.295225,10,
T,,70.54335000,-149.17637167,7,21,2008,19,9,28,0.618042,1e25,1e25,"SM",0.0207,2.1212,2.1212,7.468681,10,
T,,70.54325167,-149.17560333,7,21,2008,19,9,38,-0.343384,1e25,1e25,"SM",0.0189,2.1401,2.1401,6.819558,10,
T,,70.54315167,-149.17484833,7,21,2008,19,9,48,-0.343384,1e25,1e25,"SM",0.0187,2.1588,2.1588,6.731791,10,
T,,70.54304167,-149.17410167,7,21,2008,19,9,58,-0.824097,1e25,1e25,"SM",0.0188,2.1776,2.1776,6.764439,10,
T,,70.54291000,-149.17340500,7,21,2008,19,10,8,-0.824097,1e25,1e25,"SM",0.0184,2.1961,2.1961,6.636534,10,
T,,70.54277667,-149.17261500,7,21,2008,19,10,18,-0.343384,1e25,1e25,"SM",0.0204,2.2165,2.2165,7.337755,10,
T,,70.54266333,-149.17195167,7,21,2008,19,10,28,-0.343384,1e25,1e25,"SM",0.0172,2.2336,2.2336,6.176839,10,
