Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.57559528,-150.03961190,8,19,2008,9,44,28,3.604438,1e25,1e25,"SM",0.0126,1.9636,1.9636,2.670056,17,
T,,70.57583040,-150.03955289,8,19,2008,9,44,49,2.027697,1e25,1e25,"SM",0.0163,1.9799,1.9799,2.794490,21,
T,,70.57617875,-150.03913262,8,19,2008,9,45,26,-4.280471,1e25,1e25,"SM",0.0259,2.0058,2.0058,2.523283,37,
T,,70.57658133,-150.03897998,8,19,2008,9,46,6,2.027697,1e25,1e25,"SM",0.0280,2.0338,2.0338,2.523241,40,
T,,70.57735758,-150.03974827,8,19,2008,9,47,19,3.604438,1e25,1e25,"SM",0.0565,2.0903,2.0903,2.784519,73,
T,,70.57749035,-150.03979471,8,19,2008,9,47,32,3.604438,1e25,1e25,"SM",0.0092,2.0995,2.0995,2.557471,13,
T,,70.57778715,-150.03969857,8,19,2008,9,47,57,3.604438,1e25,1e25,"SM",0.0206,2.1201,2.1201,2.970108,25,
T,,70.57818789,-150.03963922,8,19,2008,9,48,34,3.604438,1e25,1e25,"SM",0.0277,2.1479,2.1479,2.697270,37,
T,,70.57849442,-150.03940084,8,19,2008,9,49,5,0.450955,1e25,1e25,"SM",0.0219,2.1697,2.1697,2.540392,31,
T,,70.57907788,-150.03954350,8,19,2008,9,50,2,-1.126587,1e25,1e25,"SM",0.0404,2.2102,2.2102,2.554517,57,
T,,70.57958666,-150.03951165,8,19,2008,9,50,51,-1.126587,1e25,1e25,"SM",0.0352,2.2454,2.2454,2.583260,49,
T,,70.58006418,-150.03977476,8,19,2008,9,51,36,-2.703729,1e25,1e25,"SM",0.0335,2.2789,2.2789,2.683388,45,
T,,70.57988405,-150.03957225,8,19,2008,9,51,42,-56.320150,1e25,1e25,"SM",0.0133,2.2922,2.2922,7.971995,6,
T,,70.57994138,-150.03995975,8,19,2008,9,51,51,-78.397736,1e25,1e25,"SM",0.0097,2.3019,2.3019,3.897402,9,
T,,70.58019804,-150.04017642,8,19,2008,9,52,13,-73.666710,1e25,1e25,"SM",0.0184,2.3203,2.3203,3.013923,22,
T,,70.58054170,-150.04047624,8,19,2008,9,52,43,-70.512827,1e25,1e25,"SM",0.0247,2.3451,2.3451,2.966792,30,
T,,70.58058201,-150.04059258,8,19,2008,9,52,47,-68.935685,1e25,1e25,"SM",0.0039,2.3489,2.3489,3.474349,4,
T,,70.58130822,-150.04111762,8,19,2008,9,53,41,-67.358943,1e25,1e25,"SM",0.0516,2.4005,2.4005,3.440361,54,
T,,70.58165599,-150.04109264,8,19,2008,9,54,11,-65.782202,1e25,1e25,"SM",0.0240,2.4246,2.4246,2.884213,30,
T,,70.58211473,-150.04073708,8,19,2008,9,54,55,-59.474434,1e25,1e25,"SM",0.0327,2.4573,2.4573,2.678023,44,
T,,70.58256140,-150.04057908,8,19,2008,9,55,32,-57.897292,1e25,1e25,"SM",0.0311,2.4884,2.4884,3.023485,37,
T,,70.58317848,-150.04057917,8,19,2008,9,56,33,-43.704216,1e25,1e25,"SM",0.0426,2.5310,2.5310,2.516213,61,
T,,70.58356086,-150.04099105,8,19,2008,9,57,8,-32.665823,1e25,1e25,"SM",0.0281,2.5591,2.5591,2.886467,35,
T,,70.58367762,-150.04114067,8,19,2008,9,57,19,-31.088681,1e25,1e25,"SM",0.0088,2.5678,2.5678,2.869783,11,
T,,70.58410761,-150.04110253,8,19,2008,9,57,56,-43.704216,1e25,1e25,"SM",0.0297,2.5976,2.5976,2.891917,37,
T,,70.58466442,-150.04107940,8,19,2008,9,58,49,-42.127474,1e25,1e25,"SM",0.0385,2.6360,2.6360,2.613432,53,
T,,70.58512744,-150.04097245,8,19,2008,9,59,23,-42.127474,1e25,1e25,"SM",0.0321,2.6681,2.6681,3.397290,34,
N,,70.58532910,-150.04205128,8,19,2008,9,59,51,-42.127474,1e25,1e25,"SM",0.0284,0.0000,2.6965,3.654869,28,
T,,70.58534210,-150.04204709,8,19,2008,9,59,52,-42.127474,1e25,1e25,"SM",0.0009,0.0009,2.6975,3.250091,1,
T,,70.58570495,-150.04213208,8,19,2008,10,0,35,-42.127474,1e25,1e25,"SM",0.0251,0.0260,2.7226,2.105295,43,
T,,70.58597694,-150.04206872,8,19,2008,10,1,5,-43.704216,1e25,1e25,"SM",0.0188,0.0449,2.7414,2.261899,30,
N,,70.58662025,-150.04261429,8,19,2008,10,2,7,5.181580,1e25,1e25,"SM",0.0462,0.0000,2.7876,2.681463,62,
T,,70.58677917,-150.04270247,8,19,2008,10,2,20,46.182467,1e25,1e25,"SM",0.0112,0.0112,2.7988,3.091997,13,
T,,70.58714270,-150.04275151,8,19,2008,10,2,55,41.451442,1e25,1e25,"SM",0.0251,0.0363,2.8239,2.586061,35,
T,,70.58770286,-150.04352465,8,19,2008,10,3,52,41.451442,1e25,1e25,"SM",0.0426,0.0789,2.8665,2.689368,57,
T,,70.58815062,-150.04385398,8,19,2008,10,4,30,30.413049,1e25,1e25,"SM",0.0318,0.1107,2.8984,3.017202,38,
T,,70.58893776,-150.04333732,8,19,2008,10,5,46,27.259166,1e25,1e25,"SM",0.0557,0.1664,2.9540,2.636786,76,
T,,70.58957521,-150.04327118,8,19,2008,10,6,56,27.259166,1e25,1e25,"SM",0.0441,0.2105,2.9981,2.266421,70,
N,,70.58972189,-150.04372146,8,19,2008,10,7,8,30.413049,1e25,1e25,"SM",0.0145,0.0000,3.0126,4.343414,12,
T,,70.58965090,-150.04376153,8,19,2008,10,7,10,31.990191,1e25,1e25,"SM",0.0050,0.0050,3.0176,8.983419,2,
