X,Y,LABEL,ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_2,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9
865147.002,7855766.304,,7,SM,0.0158,2.9666,2.9666,5.696573,10,21,2008,19,17,38,-6.111206,1.00E+25,1.00E+25
865174.697,7855763.484,,7,SM,0.0172,2.9839,2.9839,6.194974,10,21,2008,19,17,48,-6.111206,1.00E+25,1.00E+25
865203.191,7855759.664,,7,SM,0.0178,3.0016,3.0016,6.396493,10,21,2008,19,17,58,-5.630493,1.00E+25,1.00E+25
865230.207,7855753.715,,7,SM,0.0171,3.0187,3.0187,6.155747,10,21,2008,19,18,8,-3.707886,1.00E+25,1.00E+25
865256.269,7855747.043,,7,SM,0.0166,3.0354,3.0354,5.987168,10,21,2008,19,18,18,-3.707886,1.00E+25,1.00E+25
865283.653,7855741.156,,7,SM,0.0173,3.0527,3.0527,6.232847,10,21,2008,19,18,28,-2.746704,1.00E+25,1.00E+25
865310.314,7855739.677,,7,SM,0.0165,3.0692,3.0692,5.9415,10,21,2008,19,18,38,-2.265991,1.00E+25,1.00E+25
865337.712,7855737.943,,7,SM,0.017,3.0861,3.0861,6.107969,10,21,2008,19,18,48,-2.265991,1.00E+25,1.00E+25
865364.763,7855734.454,,7,SM,0.0169,3.103,3.103,6.069784,10,21,2008,19,18,58,-1.785278,1.00E+25,1.00E+25
865391.114,7855731.416,,7,SM,0.0164,3.1194,3.1194,5.90235,10,21,2008,19,19,8,-1.304688,1.00E+25,1.00E+25
865415.415,7855727.854,,7,SM,0.0152,3.1346,3.1346,5.464685,10,21,2008,19,19,18,-1.304688,1.00E+25,1.00E+25
865443.843,7855723.271,,7,SM,0.0178,3.1524,3.1524,6.407686,10,21,2008,19,19,28,-0.824097,1.00E+25,1.00E+25
865472.283,7855723.218,,7,SM,0.0176,3.17,3.17,6.32838,10,21,2008,19,19,38,0.137451,1.00E+25,1.00E+25
865499.227,7855723.864,,7,SM,0.0167,3.1866,3.1866,5.996683,10,21,2008,19,19,48,0.618042,1.00E+25,1.00E+25
865526.564,7855723.631,,7,SM,0.0169,3.2035,3.2035,6.083282,10,21,2008,19,19,58,0.618042,1.00E+25,1.00E+25
865554.833,7855726.946,,7,SM,0.0176,3.2211,3.2211,6.332492,10,21,2008,19,20,8,1.579346,1.00E+25,1.00E+25
865581.778,7855728.348,,7,SM,0.0167,3.2378,3.2378,6.003491,10,21,2008,19,20,18,1.579346,1.00E+25,1.00E+25
865608.010,7855726.803,,7,SM,0.0162,3.254,3.254,5.847295,10,21,2008,19,20,28,1.579346,1.00E+25,1.00E+25
865637.826,7855724.902,,7,SM,0.0185,3.2725,3.2725,6.647502,10,21,2008,19,20,38,2.540649,1.00E+25,1.00E+25
865662.983,7855722.615,,7,SM,0.0156,3.2881,3.2881,5.6215,10,21,2008,19,20,48,3.02124,1.00E+25,1.00E+25
865690.193,7855719.345,,7,SM,0.0169,3.305,3.305,6.097972,10,21,2008,19,20,58,2.060059,1.00E+25,1.00E+25
