X,Y,,,,,,0,60641.1,,,,123.2091312,,
534586.5,7796152.6,,,,,,120.1106573,60698.6,,,,123.1906579,,
534587.5,7796152.6,,,,,,121.1105693,60699.1,,,,123.1907405,,
534588.5,7796152.6,,,,,,122.2092059,60699.6,,,,123.1920981,,
534589.6,7796152.7,,,,,,123.2091312,60700.1,,,,123.1921675,,
534590.6,7796152.7,,,,,,124.3090504,60700.6,,,,123.1922426,,
534591.7,7796152.7,,,,,,125.3089781,60701.1,,,,123.1923096,,
534592.7,7796152.7,,,,,,126.4077529,60701.6,,,,123.1935291,,
534593.8,7796152.8,,,,,,127.4088301,60702.1,,,,123.1924468,,
534594.8,7796152.7,,,,,,128.5087546,60702.6,,,,123.0925173,,
534595.9,7796152.7,,,,,,129.508687,60703.1,,,,123.1925794,,
534596.9,7796152.7,,,,,,130.5086204,60703.6,,,,123.1926409,,
534597.9,7796152.7,,,,,,131.6074466,60704.1,,,,123.1938093,,
534599,7796152.8,,,,,,132.6073904,60704.6,,,,123.29386,,
534600,7796152.8,,,,,,133.6063247,60705.1,,,,123.2949209,,
534601,7796152.9,,,,,,134.7062731,60705.6,,,,123.1946769,,
534602.1,7796152.9,,,,,,135.7053057,60706.1,,,,123.2956402,,
534603.1,7796153,,,,,,136.8052631,60706.6,,,,123.1956792,,
534604.2,7796153,,,,,,137.8052249,60707.1,,,,123.1954648,,
534605.2,7796153,,,,,,138.9051835,60707.6,,,,123.1957513,,
534606.3,7796153,,,,,,139.9051464,60708.1,,,,123.1957848,,
534607.3,7796153,,,,,,141.0051063,60708.6,,,,123.195821,,
534608.4,7796153,,,,,,142.0042605,60709.1,,,,123.296663,,
534609.4,7796153.1,,,,,,143.0042307,60709.6,,,,123.2966893,,
534610.4,7796153.1,,,,,,144.1041984,60710.1,,,,123.1967182,,
534611.5,7796153.1,,,,,,145.1041695,60710.6,,,,123.2965012,,
534612.5,7796153.1,,,,,,146.2034199,60711.1,,,,123.1972482,,
534613.6,7796153.2,,,,,,147.2033967,60711.6,,,,123.197269,,
534614.6,7796153.2,,,,,,148.2033738,60712.1,,,,123.2972892,,
534615.6,7796153.2,,,,,,149.3027126,60712.6,,,,123.1979479,,
534616.7,7796153.3,,,,,,150.3026946,60713.1,,,,123.2979633,,
534617.7,7796153.3,,,,,,151.402675,60713.6,,,,123.1979805,,
534618.8,7796153.3,,,,,,152.4026575,60714.1,,,,123.2979954,,
534619.8,7796153.3,,,,,,153.5020847,60714.6,,,,123.1983671,,
534620.9,7796153.4,,,,,,154.5020712,60715.1,,,,123.1983789,,
534621.9,7796153.4,,,,,,155.6020565,60715.6,,,,123.1983918,,
534623,7796153.4,,,,,,156.6015645,60716.1,,,,123.1987214,,
534624,7796153.5,,,,,,157.6015546,60716.6,,,,123.2987302,,
534625,7796153.5,,,,,,158.7011342,60717.1,,,,123.1991496,,
534626.1,7796153.6,,,,,,159.7011271,60717.6,,,,123.2991556,,
534627.1,7796153.6,,,,,,160.8011194,60718.1,,,,123.1991623,,
534628.2,7796153.6,,,,,,161.8007726,60718.6,,,,123.299508,,
534629.2,7796153.7,,,,,,162.9007673,60719.1,,,,123.1995123,,
534630.3,7796153.7,,,,,,163.9007627,60719.6,,,,123.1993941,,
534631.3,7796153.7,,,,,,164.900758,60720.1,,,,123.2993981,,
534632.3,7796153.7,,,,,,166.000753,60720.6,,,,123.1994026,,
534633.4,7796153.7,,,,,,167.0007485,60721.1,,,,123.2994065,,
534634.4,7796153.7,,,,,,168.1004759,60721.6,,,,123.1996786,,
534635.5,7796153.8,,,,,,169.1004731,60722.1,,,,123.2996808,,
534636.5,7796153.8,,,,,,170.2002644,60722.6,,,,123.199889,,
534637.6,7796153.9,,,,,,171.2001168,60723.1,,,,123.300036,,
534638.6,7796154,,,,,,172.3001161,60723.6,,,,123.1999516,,
534639.7,7796154,,,,,,173.3001154,60724.1,,,,123.199952,,
534640.7,7796154,,,,,,174.4000287,60724.6,,,,123.2000385,,
534641.8,7796154.1,,,,,,175.4000285,60725.1,,,,122.8000386,,
534642.8,7796154.1,,,,,,176.5000283,60725.6,,,,121.7000387,,
