Time,File,Total,bearded seal,beluga,Unknown,bowhead,Boating,minke,Walrus,
03-Oct-07 07:20:02,shell-367F0914.a28..1191396002.2007-10-03-07-20-02.wav_chan0.xml,6,0,0,4,2,0,0,
03-Oct-07 07:53:44,shell-367F0915.a28..1191398024.2007-10-03-07-53-44.wav_chan0.xml,17,0,0,17,0,0,0,0,
03-Oct-07 08:27:25,shell-367F0916.a28..1191400045.2007-10-03-08-27-25.wav_chan0.xml,72,27,0,26,19,0,0,0,
03-Oct-07 09:01:07,shell-367F0917.a28..1191402067.2007-10-03-09-01-07.wav_chan0.xml,59,12,8,28,11,0,0,0,
03-Oct-07 09:34:48,shell-367F0918.a28..1191404088.2007-10-03-09-34-48.wav_chan0.xml,47,26,1,14,6,0,0,0,
03-Oct-07 10:08:30,shell-367F0919.a28..1191406110.2007-10-03-10-08-30.wav_chan0.xml,36,1,0,22,13,0,0,0,
03-Oct-07 10:42:12,shell-367F0920.a28..1191408132.2007-10-03-10-42-12.wav_chan0.xml,13,2,0,6,5,0,0,0,
03-Oct-07 11:15:54,shell-367F0921.a28..1191410154.2007-10-03-11-15-54.wav_chan0.xml,17,1,6,7,3,0,0,0,
03-Oct-07 11:49:37,shell-367F0922.a28..1191412177.2007-10-03-11-49-37.wav_chan0.xml,11,2,0,7,2,0,0,0,
03-Oct-07 12:23:20,shell-367F0923.a28..1191414200.2007-10-03-12-23-20.wav_chan0.xml,30,4,0,21,5,0,0,0,
03-Oct-07 12:57:05,shell-367F0924.a28..1191416225.2007-10-03-12-57-05.wav_chan0.xml,26,2,3,9,12,0,0,0,
03-Oct-07 13:30:49,shell-367F0925.a28..1191418249.2007-10-03-13-30-49.wav_chan0.xml,53,18,0,22,13,0,0,0,
03-Oct-07 14:04:33,shell-367F0926.a28..1191420273.2007-10-03-14-04-33.wav_chan0.xml,125,62,0,45,18,0,0,0,
03-Oct-07 14:38:18,shell-367F0927.a28..1191422298.2007-10-03-14-38-18.wav_chan0.xml,53,30,0,10,13,0,0,0,
03-Oct-07 15:12:02,shell-367F0928.a28..1191424322.2007-10-03-15-12-02.wav_chan0.xml,6,2,0,2,2,0,0,0,
03-Oct-07 15:45:44,shell-367F0929.a28..1191426344.2007-10-03-15-45-44.wav_chan0.xml,17,2,1,11,3,0,0,0,
03-Oct-07 16:19:25,shell-367F0930.a28..1191428365.2007-10-03-16-19-25.wav_chan0.xml,30,10,0,15,5,0,0,0,
03-Oct-07 16:53:07,shell-367F0931.a28..1191430387.2007-10-03-16-53-07.wav_chan0.xml,51,6,2,41,2,0,0,0,
03-Oct-07 17:26:48,shell-367F0932.a28..1191432408.2007-10-03-17-26-48.wav_chan0.xml,11,1,0,4,5,0,1,0,
03-Oct-07 18:00:30,shell-367F0933.a28..1191434430.2007-10-03-18-00-30.wav_chan0.xml,8,1,0,7,0,0,0,0,
03-Oct-07 18:34:12,shell-367F0934.a28..1191436452.2007-10-03-18-34-12.wav_chan0.xml,6,5,0,0,1,0,0,0,
03-Oct-07 19:07:53,shell-367F0935.a28..1191438473.2007-10-03-19-07-53.wav_chan0.xml,1,0,0,1,0,0,0,0,
03-Oct-07 19:41:35,shell-367F0936.a28..1191440495.2007-10-03-19-41-35.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 20:15:18,shell-367F0937.a28..1191442518.2007-10-03-20-15-18.wav_chan0.xml,1,1,0,0,0,0,0,0,
03-Oct-07 20:49:01,shell-367F0938.a28..1191444541.2007-10-03-20-49-01.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 21:22:45,shell-367F0939.a28..1191446565.2007-10-03-21-22-45.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 21:56:29,shell-367F0940.a28..1191448589.2007-10-03-21-56-29.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 22:30:14,shell-367F0941.a28..1191450614.2007-10-03-22-30-14.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 23:03:58,shell-367F0942.a28..1191452638.2007-10-03-23-03-58.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 23:37:43,shell-367F0943.a28..1191454663.2007-10-03-23-37-43.wav_chan0.xml,3,0,0,0,3,0,0,0,
04-Oct-07 00:11:24,shell-367F0944.a28..1191456684.2007-10-04-00-11-24.wav_chan0.xml,10,5,0,1,4,0,0,0,
04-Oct-07 00:45:06,shell-367F0945.a28..1191458706.2007-10-04-00-45-06.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 01:18:47,shell-367F0946.a28..1191460727.2007-10-04-01-18-47.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 01:52:29,shell-367F0947.a28..1191462749.2007-10-04-01-52-29.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 02:26:10,shell-367F0948.a28..1191464770.2007-10-04-02-26-10.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 02:59:52,shell-367F0949.a28..1191466792.2007-10-04-02-59-52.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 03:33:34,shell-367F0950.a28..1191468814.2007-10-04-03-33-34.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 04:07:15,shell-367F0951.a28..1191470835.2007-10-04-04-07-15.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 04:40:57,shell-367F0952.a28..1191472857.2007-10-04-04-40-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 05:14:39,shell-367F0953.a28..1191474879.2007-10-04-05-14-39.wav_chan0.xml,1,0,0,1,0,0,0,0,
04-Oct-07 05:48:22,shell-367F0954.a28..1191476902.2007-10-04-05-48-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 06:22:05,shell-367F0955.a28..1191478925.2007-10-04-06-22-05.wav_chan0.xml,2,0,0,2,0,0,0,0,
04-Oct-07 06:55:48,shell-367F0956.a28..1191480948.2007-10-04-06-55-48.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 07:29:32,shell-367F0957.a28..1191482972.2007-10-04-07-29-32.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 08:03:16,shell-367F0958.a28..1191484996.2007-10-04-08-03-16.wav_chan0.xml,0,0,0,0,0,0,0,0,
