Time,file,confidence,Ntonals,maxFileSPL
13-Oct-07 10:55:41,shell-461E1238.a30..1192272941.2007-10-13-10-55-41.wav_chan0.xml,0,0,0.0
26-Sep-07 14:53:51,shell-461E0519.a30..1190818431.2007-09-26-14-53-51.wav_chan0.xml,0,0,0.0
15-Oct-07 06:12:08,shell-461E1315.a30..1192428728.2007-10-15-06-12-08.wav_chan0.xml,0,0,0.0
05-Oct-07 14:40:17,shell-461E0903.a30..1191595217.2007-10-05-14-40-17.wav_chan0.xml,0,0,0.0
30-Sep-07 02:03:32,shell-461E0667.a30..1191117812.2007-09-30-02-03-32.wav_chan0.xml,0,0,0.0
11-Oct-07 01:36:29,shell-461E1136.a30..1192066589.2007-10-11-01-36-29.wav_chan0.xml,0,0,0.0
18-Oct-07 19:03:49,shell-461E1466.a30..1192734229.2007-10-18-19-03-49.wav_chan0.xml,0,0,0.0
16-Oct-07 02:59:41,shell-461E1352.a30..1192503581.2007-10-16-02-59-41.wav_chan0.xml,0,0,0.0
19-Oct-07 09:06:55,shell-461E1491.a30..1192784815.2007-10-19-09-06-55.wav_chan0.xml,0,0,0.0
20-Oct-07 09:50:47,shell-461E1535.a30..1192873847.2007-10-20-09-50-47.wav_chan0.xml,3,4,96.43467712402344,15.0,33.5,41.5,50.0
11-Oct-07 11:09:40,shell-461E1153.a30..1192100980.2007-10-11-11-09-40.wav_chan0.xml,0,0,0.0
27-Sep-07 08:52:42,shell-461E0551.a30..1190883162.2007-09-27-08-52-42.wav_chan0.xml,0,0,0.0
06-Oct-07 04:43:19,shell-461E0928.a30..1191645799.2007-10-06-04-43-19.wav_chan0.xml,0,0,0.0
26-Sep-07 16:34:59,shell-461E0522.a30..1190824499.2007-09-26-16-34-59.wav_chan0.xml,0,0,0.0
10-Oct-07 16:36:59,shell-461E1120.a30..1192034219.2007-10-10-16-36-59.wav_chan0.xml,0,0,0.0
10-Oct-07 21:40:19,shell-461E1129.a30..1192052419.2007-10-10-21-40-19.wav_chan0.xml,0,0,0.0
19-Oct-07 01:48:29,shell-461E1478.a30..1192758509.2007-10-19-01-48-29.wav_chan0.xml,0,0,0.0
15-Oct-07 05:38:26,shell-461E1314.a30..1192426706.2007-10-15-05-38-26.wav_chan0.xml,0,0,0.0
20-Sep-07 00:26:53,shell-461E0237.a30..1190248013.2007-09-20-00-26-53.wav_chan0.xml,0,0,0.0
