Time,File,Total,Unknown,bowhead,bearded seal,beluga,Boating,minke,Walrus,
02-Oct-07 16:36:52,shell-00EA0852.a26..1191343012.2007-10-02-16-36-52.wav_chan0.xml,1,1,0,0,0,0,0,0,
02-Oct-07 17:10:43,shell-00EA0853.a26..1191345043.2007-10-02-17-10-43.wav_chan0.xml,3,3,0,0,0,0,0,0,
02-Oct-07 17:44:35,shell-00EA0854.a26..1191347075.2007-10-02-17-44-35.wav_chan0.xml,1,1,0,0,0,0,0,0,
02-Oct-07 18:18:26,shell-00EA0855.a26..1191349106.2007-10-02-18-18-26.wav_chan0.xml,1,1,0,0,0,0,0,0,
02-Oct-07 18:52:17,shell-00EA0856.a26..1191351137.2007-10-02-18-52-17.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 19:26:10,shell-00EA0857.a26..1191353170.2007-10-02-19-26-10.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 20:00:02,shell-00EA0858.a26..1191355202.2007-10-02-20-00-02.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 20:33:56,shell-00EA0859.a26..1191357236.2007-10-02-20-33-56.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 21:07:50,shell-00EA0860.a26..1191359270.2007-10-02-21-07-50.wav_chan0.xml,0,0,0,0,0,
02-Oct-07 21:41:44,shell-00EA0861.a26..1191361304.2007-10-02-21-41-44.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 22:15:37,shell-00EA0862.a26..1191363337.2007-10-02-22-15-37.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 22:49:31,shell-00EA0863.a26..1191365371.2007-10-02-22-49-31.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 23:23:25,shell-00EA0864.a26..1191367405.2007-10-02-23-23-25.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 23:57:16,shell-00EA0865.a26..1191369436.2007-10-02-23-57-16.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 00:31:07,shell-00EA0866.a26..1191371467.2007-10-03-00-31-07.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 01:04:59,shell-00EA0867.a26..1191373499.2007-10-03-01-04-59.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 01:38:51,shell-00EA0868.a26..1191375531.2007-10-03-01-38-51.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 02:12:42,shell-00EA0869.a26..1191377562.2007-10-03-02-12-42.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 02:46:34,shell-00EA0870.a26..1191379594.2007-10-03-02-46-34.wav_chan0.xml,5,0,0,5,0,0,0,0,
03-Oct-07 03:20:25,shell-00EA0871.a26..1191381625.2007-10-03-03-20-25.wav_chan0.xml,6,0,0,6,0,0,0,0,
