Time,file,confidence,Ntonals,maxFileSPL
11-Aug-07 09:57:06,shell-9B610954.A27-B20..1186542366.2007-08-08-03-06-06.wav_chan0.xml,1,1,73.4616928100586,60.5
09-Sep-07 04:42:30,shell-9B612183.A27-B20..1189029090.2007-09-05-21-51-30.wav_chan0.xml,0,0,0.0
29-Jul-07 20:13:38,shell-9B610417.A27-B20..1185456158.2007-07-26-13-22-38.wav_chan0.xml,0,0,0.0
17-Aug-07 12:37:09,shell-9B611215.A27-B20..1187070369.2007-08-14-05-46-09.wav_chan0.xml,3,7,86.0544662475586,60.4718132019043,91.0,250.5,75.0,105.5,105.0,120.0,84.5,60.285884857177734,60.10236358642578
26-Aug-07 17:29:02,shell-9B611608.A27-B20..1187865482.2007-08-23-10-38-02.wav_chan0.xml,0,0,0.0
12-Aug-07 09:33:02,shell-9B610996.A27-B20..1186627322.2007-08-09-02-42-02.wav_chan0.xml,2,2,72.04574584960938,283.0,312.5,181.0,312.0
07-Sep-07 20:06:13,shell-9B612125.A27-B20..1188911713.2007-09-04-13-15-13.wav_chan0.xml,1,1,78.06036376953125,45.0
02-Sep-07 19:14:01,shell-9B611910.A27-B20..1188476581.2007-08-30-12-23-01.wav_chan0.xml,1,1,74.7541732788086,61.5
08-Sep-07 05:05:54,shell-9B612141.A27-B20..1188944094.2007-09-04-22-14-54.wav_chan0.xml,0,0,0.0
04-Aug-07 19:29:52,shell-9B610672.A27-B20..1185971932.2007-08-01-12-38-52.wav_chan0.xml,1,1,76.23143768310547,60.0
25-Jul-07 12:51:22,shell-9B610233.A27-B20..1185084022.2007-07-22-06-00-22.wav_chan0.xml,0,0,0.0
27-Aug-07 23:16:27,shell-9B611661.A27-B20..1187972727.2007-08-24-16-25-27.wav_chan0.xml,0,0,0.0
15-Aug-07 13:58:41,shell-9B611132.A27-B20..1186902461.2007-08-12-07-07-41.wav_chan0.xml,3,5,79.18260955810547,49.5,75.5,105.5,181.5,894.0,405.0,298.0,75.0,273.0,894.5,259.5
10-Aug-07 10:21:05,shell-9B610912.A27-B20..1186457405.2007-08-07-03-30-05.wav_chan0.xml,3,3,81.35029602050781,75.5,218.5,60.5,190.5
26-Jul-07 07:23:44,shell-9B610266.A27-B20..1185150764.2007-07-23-00-32-44.wav_chan0.xml,0,0,0.0
30-Jul-07 06:20:22,shell-9B610435.A27-B20..1185492562.2007-07-26-23-29-22.wav_chan0.xml,0,0,0.0
13-Aug-07 14:46:24,shell-9B611048.A27-B20..1186732524.2007-08-10-07-55-24.wav_chan0.xml,3,5,90.73592376708984,37.5,45.0,222.62646484375,67.5,222.5,30.0,45.5
30-Aug-07 01:17:47,shell-9B611750.A27-B20..1188152807.2007-08-26-18-26-47.wav_chan0.xml,2,2,72.58716583251953,59.5,570.5
07-Sep-07 14:28:46,shell-9B612115.A27-B20..1188891466.2007-09-04-07-37-46.wav_chan0.xml,0,0,0.0
24-Aug-07 01:24:34,shell-9B611494.A27-B20..1187634814.2007-08-20-18-33-34.wav_chan0.xml,0,0,0.0
15-Aug-07 09:28:49,shell-9B611124.A27-B20..1186886269.2007-08-12-02-37-49.wav_chan0.xml,0,0,0.0
